temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
        1, 1652325570,  518945932,  0.000506,  0.000000,  1.000000,  1.199531,  0.897496,  0.031910,  0.000000,  0.000000,  0.000000,-49.000000,61.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0
        2, 1652325571,  518640041,  0.000506,  0.000000,  1.000000,  1.199677,  0.897662,  0.034516,  0.000000,  0.000000,  0.000000,-49.000000,61.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1
        3, 1652325572,  517545938,  0.000506,  0.000000,  1.000000,  1.199544,  0.897453,  0.031954,  0.000000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
        4, 1652325573,  518800020,  0.000506,  0.000000,  1.000000,  1.199692,  0.897562,  0.032048,  0.000000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
        5, 1652325574,  518739938,  0.000532,  0.000000,  1.000000,  1.199665,  0.897609,  0.033557,  0.010000,  0.000000,  0.000000,-49.000000,61.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
        6, 1652325575,  519282102,  0.009238,  0.000000,  1.000000,  1.199585,  0.907575,  0.029551,  0.020000,  0.000000,  0.000000,-49.000000,61.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
        7, 1652325576,  519521951,  0.035410,  0.000000,  1.000000,  1.199050,  0.937912,  0.030016,  0.040000,  0.000000,  0.000000,-50.000000,60.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
        8, 1652325577,  518711090,  0.077425,  0.000000,  1.000000,  1.198016,  0.981094,  0.037201,  0.050000,  0.000000,  0.000000,-46.000000,64.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1,-35.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1
        9, 1652325578,  520550966,  0.127566,  0.000000,  1.000000,  1.196578,  1.036266,  0.035724,  0.050000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-30.000000,70.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
       10, 1652325579,  517673015,  0.181123,  0.000000,  1.000000,  1.194622,  1.099369,  0.035162,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-56.000000,54.000000,-256.000000, 1
       11, 1652325580,  519220113,  0.241363,  0.000000,  1.000000,  1.194156,  1.164466,  0.037127,  0.060000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-35.000000,70.000000,-256.000000, 1,-52.000000,58.000000,-256.000000, 1
       12, 1652325581,  522416114,  0.301248,  0.000000,  1.000000,  1.189892,  1.230415,  0.033529,  0.060000,  0.000000,  0.000000,-34.000000,70.000000,-256.000000, 1,-34.000000,70.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-51.000000,59.000000,-256.000000, 1
       13, 1652325582,  518596887,  0.359943,  0.000000,  1.000000,  1.189433,  1.300679,  0.034869,  0.060000,  0.000000,  0.000000,-40.000000,70.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-53.000000,57.000000,-256.000000, 1
       14, 1652325583,  519356012,  0.417399,  0.000000,  1.000000,  1.187519,  1.361773,  0.037210,  0.060000,  0.000000,  0.000000,-40.000000,70.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1
       15, 1652325584,  517585992,  0.476423,  0.000000,  1.000000,  1.185877,  1.432084,  0.037550,  0.060000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-48.000000,62.000000,-256.000000, 1
       16, 1652325585,  518510103,  0.539067,  0.000000,  1.000000,  1.183894,  1.499728,  0.034410,  0.060000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1
       17, 1652325586,  519160032,  0.596320,  0.000000,  1.000000,  1.180577,  1.570585,  0.041184,  0.060000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-46.000000,64.000000,-256.000000, 1
       18, 1652325587,  518002033,  0.655749,  0.000000,  1.000000,  1.179008,  1.636583,  0.043616,  0.060000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-36.000000,70.000000,-256.000000, 1,-50.000000,60.000000,-256.000000, 1
