anchor;x;y;distance;distance_cm;channel;rssi
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-61
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-62
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-59
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
s2;1;1;12.727922061357855;1273;0;-60
