X,Y,RSS1,RSS2,RSS3,RSS4
0,0.0,-71.8643655924487,-73.8643655924487,-71.8643655924487,-74.8643655924487
0.2,0.2,-71.88868007243981,-69.80153325164095,-73.88868007243981,-68.97467645697722
0.4,0.4,-72.34556013572069,-75.17010841273174,-72.34556013572069,-74.51641011361895
0.6000000000000001,0.6000000000000001,-75.92720891309035,-73.66228655715933,-76.92720891309035,-74.18177734213005
0.8,0.8,-69.51095421568688,-74.15538783800949,-72.51095421568688,-69.84811361013124
1.0,1.0,-72.73269583645094,-73.28530437673845,-75.73269583645094,-75.15132637796636
1.2,1.2000000000000002,-74.54531885070973,-71.00491355873133,-73.54531885070973,-75.04430840242834
1.4,1.4000000000000001,-76.20543153986235,-72.57081595167094,-76.20543153986235,-75.78367566333918
1.5999999999999999,1.6,-76.41198618377729,-73.68195609232268,-75.41198618377729,-77.06838815859992
1.7999999999999998,1.8,-78.59112888516711,-77.76447230499457,-75.59112888516711,-76.3245997309813
1.9999999999999998,2.0,-78.3248688163047,-76.40036594203153,-75.3248688163047,-75.13432731702528
2.1999999999999997,2.2,-71.30274193686755,-72.27916509512384,-69.30274193686755,-74.18711466684901
2.4,2.4000000000000004,-70.4594440161922,-72.3355576107068,-72.4594440161922,-71.41766536813957
2.6,2.6,-72.03900639593358,-73.81356684543893,-74.03900639593358,-74.07001861033963
2.8000000000000003,2.8000000000000003,-72.24893191424505,-68.92068758286942,-74.24893191424505,-72.35168511014597
3.0000000000000004,3.0,-66.76935272646293,-69.33704384627072,-70.76935272646293,-68.9428049333101
3.2000000000000006,3.2,-80.1500257660054,-75.61238435133988,-77.1500257660054,-79.39314295645724
3.400000000000001,3.4000000000000004,-72.48059385500599,-70.83634360828141,-71.48059385500598,-69.79234997844951
3.600000000000001,3.6,-74.40430384049775,-75.65216004907994,-77.40430384049775,-75.78368085711587
3.800000000000001,3.8000000000000003,-72.30078168349694,-65.43945110730351,-68.30078168349694,-72.74676959870324
4.000000000000001,4.0,-78.08981170537096,-73.11799245481365,-75.08981170537096,-78.60140860444014
4.200000000000001,4.2,-72.02581275847393,-67.94219416235661,-75.02581275847393,-74.60202484120218
4.400000000000001,4.4,-75.55483880132473,-68.3581012643011,-70.55483880132473,-74.19468041656049
4.600000000000001,4.6000000000000005,-77.5260907803794,-76.21490562956387,-78.5260907803794,-77.2285844602714
4.800000000000002,4.800000000000001,-81.15025918335111,-79.72328850366571,-80.15025918335111,-83.91443567716658
5.000000000000002,5.0,-71.86900034258132,-67.32489680041003,-69.86900034258132,-74.6938986499536
5.200000000000002,5.2,-70.71422334409881,-72.05162999880775,-73.71422334409881,-74.59889074757034
5.400000000000002,5.4,-77.25331637995572,-73.4708664828251,-79.25331637995572,-76.19680847668795
5.600000000000002,5.6000000000000005,-75.77920499059357,-70.87552177069239,-73.77920499059357,-78.78058572312221
5.8000000000000025,5.800000000000001,-76.44454881481012,-70.41824525132999,-75.44454881481012,-75.5028905007302
6.000000000000003,6.0,-68.80905221830764,-64.65873079885532,-72.80905221830764,-72.923435578779
6.200000000000003,6.2,-75.04748703288445,-73.77173949721542,-77.04748703288445,-77.21700121985467
6.400000000000003,6.4,-73.22070299454603,-73.81811006320288,-74.22070299454603,-77.44444561659401
6.600000000000003,6.6000000000000005,-78.05512452548544,-74.52425561278406,-81.05512452548544,-82.33220167219466
6.800000000000003,6.800000000000001,-74.70242130736302,-72.04183421814882,-77.70242130736302,-78.03194757214008
7.0000000000000036,7.0,-75.79077326626108,-66.99901387583337,-75.79077326626107,-76.17187176752043
7.200000000000004,7.2,-74.53177862357695,-67.60738054015542,-75.53177862357694,-76.9635810242194
7.400000000000004,7.4,-78.69128085327415,-75.63276506235408,-77.69128085327415,-80.17292737839196
