x,y,RSSI A,RSSI B,RSSI C
1,0,72,85,87
0,3,79,88,76
3.25,1.25,94,77,87
0.75,1.25,75,86,84
2.5,2,83,88,81
1.5,2.5,85,80,83
2.25,3.5,94,87,83
0.5,3.25,92,88,81
3.5,2.25,88,79,82
0.25,0.25,61,92,88
