x,y,RSSI A,RSSI B,RSSI C
1,0,34,56,57
0,3,53,55,49
3.25,1.25,56,40,59
0.75,1.25,55,61,51
2.5,2,53,54,53
1.5,2.5,57,51,41
2.25,3.5,59,52,53
0.5,3.25,53,53,47
3.5,2.25,54,58,55
0.25,0.25,47,57,55
