x,y,RSSI A,RSSI B,RSSI C
1,0,38,56,66
0,3,64,68,67
3.25,1.25,60,48,58
0.75,1.25,66,52,52
2.5,2,60,49,64
1.5,2.5,74,55,48
2.25,3.5,60,78,47
0.5,3.25,76,63,61
3.5,2.25,64,51,64
0.25,0.25,47,69,70
