temp_step,temp_sec,temp_nsec,robot_odom_x,robot_odom_y,robot_odom_w,robot_pos_x,robot_pos_y,robot_pos_w,vel_x,vel_y,vel_w,rssi1,lqi1,noise1,status1,rssi2,lqi2,noise2,status2,rssi3,lqi3,noise3,status3,rssi4,lqi4,noise4,status4
        5, 1652463552,  320842981,  0.000759,  0.000000,  1.000000,  1.196865,  0.737202,  0.996510,  0.000000,  0.000000,  0.000000,-41.000000,69.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,0.000000,0.000000,0.000000, 0,-42.000000,68.000000,-256.000000, 1
        6, 1652463553,  322305917,  0.000759,  0.000000,  1.000000,  1.196865,  0.737202,  0.996510,  0.000000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1
        7, 1652463554,  322030067,  0.000759,  0.000000,  1.000000,  1.196865,  0.737202,  0.996510,  0.000000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
        8, 1652463555,  321254014,  0.000759,  0.000000,  1.000000,  1.196847,  0.737287,  0.996638,  0.000000,  0.000000,  0.000000,-44.000000,66.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
        9, 1652463556,  325550079,  0.000759,  0.000000,  1.000000,  1.196888,  0.737298,  0.996584,  0.000000,  0.000000,  0.000000,-45.000000,65.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
       10, 1652463557,  320950984,  0.006480,  0.000000,  1.000000,  1.196839,  0.744048,  0.996299,  0.020000,  0.000000,  0.000000,-44.000000,66.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1
       11, 1652463558,  323544979,  0.026551,  0.000000,  1.000000,  1.196733,  0.769213,  0.996757,  0.030000,  0.000000,  0.000000,-44.000000,66.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1,-43.000000,67.000000,-256.000000, 1,-41.000000,69.000000,-256.000000, 1
       12, 1652463559,  322310924,  0.064112,  0.000000,  1.000000,  1.196700,  0.812903,  0.996404,  0.050000,  0.000000,  0.000000,-39.000000,70.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-44.000000,66.000000,-256.000000, 1,-42.000000,68.000000,-256.000000, 1
       13, 1652463560,  322884082,  0.116328,  0.000000,  1.000000,  1.196882,  0.878531,  0.996197,  0.065000,  0.000000,  0.000000,-42.000000,68.000000,-256.000000, 1,-37.000000,70.000000,-256.000000, 1,-38.000000,70.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1
       14, 1652463561,  322340011,  0.191096,  0.000000,  1.000000,  1.197418,  0.967823,  0.996392,  0.090000,  0.000000,  0.000000,-48.000000,62.000000,-256.000000, 1,-39.000000,70.000000,-256.000000, 1,-40.000000,70.000000,-256.000000, 1,-49.000000,61.000000,-256.000000, 1
